seq,chapter,sentence,slen,note,noun,verb,adj,adv,con,pron,punct,dt,other,text,pos
21,1,21,13,,6,3,0,2,0,3,4,0,1,"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome!","[('""', 'NN'), ('My', 'PRP$'), ('dear', 'NN'), ('Mr', 'NNP'), ('.', '.'), ('Bennet', 'NNP'), (',""', 'NNP'), ('replied', 'VBD'), ('his', 'PRP$'), ('wife', 'NN'), (',', ','), ('""', ':'), ('how', 'WRB'), ('can', 'MD'), ('you', 'PRP'), ('be', 'VB'), ('so', 'RB'), ('tiresome', 'VB'), ('!', '.')]"
22,1,22,13,,1,3,0,0,3,4,1,0,2,"You must know that I am thinking of his marrying one of them.""","[('You', 'PRP'), ('must', 'MD'), ('know', 'VB'), ('that', 'IN'), ('I', 'PRP'), ('am', 'VBP'), ('thinking', 'VBG'), ('of', 'IN'), ('his', 'PRP$'), ('marrying', 'NN'), ('one', 'CD'), ('of', 'IN'), ('them', 'PRP'), ('.""', ':')]"
23,1,23,7,,3,1,0,1,2,1,1,0,0,"""Is that his design in settling here?""","[('""', 'NN'), ('Is', 'VBZ'), ('that', 'IN'), ('his', 'PRP$'), ('design', 'NN'), ('in', 'IN'), ('settling', 'NN'), ('here', 'RB'), ('?""', '.')]"
24,1,24,1,,2,0,0,0,0,0,1,0,0,"""Design!","[('""', 'NN'), ('Design', 'NNP'), ('!', '.')]"
25,1,25,6,,1,1,0,2,0,1,2,0,1,"Nonsense, how can you talk so!","[('Nonsense', 'NN'), (',', ','), ('how', 'WRB'), ('can', 'MD'), ('you', 'PRP'), ('talk', 'VBP'), ('so', 'RB'), ('!', '.')]"
26,1,26,26,,2,4,1,3,8,6,2,0,2,"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""","[('But', 'CC'), ('it', 'PRP'), ('is', 'VBZ'), ('very', 'RB'), ('likely', 'JJ'), ('that', 'IN'), ('he', 'PRP'), ('_may_', 'NNP'), ('fall', 'VBP'), ('in', 'IN'), ('love', 'NN'), ('with', 'IN'), ('one', 'CD'), ('of', 'IN'), ('them', 'PRP'), (',', ','), ('and', 'CC'), ('therefore', 'RB'), ('you', 'PRP'), ('must', 'MD'), ('visit', 'VB'), ('him', 'PRP'), ('as', 'IN'), ('soon', 'RB'), ('as', 'IN'), ('he', 'PRP'), ('comes', 'VBZ'), ('.""', ':')]"
27,1,27,6,,2,1,0,0,1,1,1,2,0,"""I see no occasion for that.","[('""', 'NN'), ('I', 'PRP'), ('see', 'VBP'), ('no', 'DT'), ('occasion', 'NN'), ('for', 'IN'), ('that', 'DT'), ('.', '.')]"
28,1,28,39,,5,5,1,4,8,7,6,4,5,"You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley may like you the best of the party.""","[('You', 'PRP'), ('and', 'CC'), ('the', 'DT'), ('girls', 'NNS'), ('may', 'MD'), ('go', 'VB'), (',', ','), ('or', 'CC'), ('you', 'PRP'), ('may', 'MD'), ('send', 'VB'), ('them', 'PRP'), ('by', 'IN'), ('themselves', 'PRP'), (',', ','), ('which', 'WDT'), ('perhaps', 'RB'), ('will', 'MD'), ('be', 'VB'), ('still', 'RB'), ('better', 'RBR'), (',', ','), ('for', 'IN'), ('as', 'RB'), ('you', 'PRP'), ('are', 'VBP'), ('as', 'IN'), ('handsome', 'NN'), ('as', 'IN'), ('any', 'DT'), ('of', 'IN'), ('them', 'PRP'), (',', ','), ('Mr', 'NNP'), ('.', '.'), ('Bingley', 'NNP'), ('may', 'MD'), ('like', 'VB'), ('you', 'PRP'), ('the', 'DT'), ('best', 'JJS'), ('of', 'IN'), ('the', 'DT'), ('party', 'NN'), ('.""', ':')]"
29,1,29,5,,2,0,1,0,0,3,2,0,0,"""My dear, you flatter me.","[('""', 'NN'), ('My', 'PRP$'), ('dear', 'NN'), (',', ','), ('you', 'PRP'), ('flatter', 'JJR'), ('me', 'PRP'), ('.', '.')]"
30,1,30,18,,4,4,1,3,3,3,2,0,0,"I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now.","[('I', 'PRP'), ('certainly', 'RB'), ('_have_', 'NNP'), ('had', 'VBD'), ('my', 'PRP$'), ('share', 'NN'), ('of', 'IN'), ('beauty', 'NN'), (',', ','), ('but', 'CC'), ('I', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('pretend', 'VB'), ('to', 'TO'), ('be', 'VB'), ('anything', 'NN'), ('extraordinary', 'JJ'), ('now', 'RB'), ('.', '.')]"
31,1,31,18,,3,4,1,1,3,2,3,1,3,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.""","[('When', 'WRB'), ('a', 'DT'), ('woman', 'NN'), ('has', 'VBZ'), ('five', 'CD'), ('grown', 'VBN'), ('-', ':'), ('up', 'RP'), ('daughters', 'NNS'), (',', ','), ('she', 'PRP'), ('ought', 'MD'), ('to', 'TO'), ('give', 'VB'), ('over', 'IN'), ('thinking', 'VBG'), ('of', 'IN'), ('her', 'PRP$'), ('own', 'JJ'), ('beauty', 'NN'), ('.""', ':')]"
32,1,32,13,,5,2,1,3,3,0,1,1,0,"""In such cases, a woman has not often much beauty to think of.""","[('""', 'NN'), ('In', 'IN'), ('such', 'JJ'), ('cases', 'NNS'), (',', ','), ('a', 'DT'), ('woman', 'NN'), ('has', 'VBZ'), ('not', 'RB'), ('often', 'RB'), ('much', 'RB'), ('beauty', 'NN'), ('to', 'TO'), ('think', 'VB'), ('of', 'IN'), ('.""', 'NNP')]"
33,1,33,17,,5,4,0,1,3,3,4,1,1,"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""","[('""', 'NN'), ('But', 'CC'), (',', ','), ('my', 'PRP$'), ('dear', 'NN'), (',', ','), ('you', 'PRP'), ('must', 'MD'), ('indeed', 'VB'), ('go', 'VB'), ('and', 'CC'), ('see', 'VB'), ('Mr', 'NNP'), ('.', '.'), ('Bingley', 'NNP'), ('when', 'WRB'), ('he', 'PRP'), ('comes', 'VBZ'), ('into', 'IN'), ('the', 'DT'), ('neighbourhood', 'NN'), ('.""', ':')]"
34,1,34,10,,1,3,0,1,2,4,2,0,0,"""It is more than I engage for, I assure you.""","[('""', 'NN'), ('It', 'PRP'), ('is', 'VBZ'), ('more', 'RBR'), ('than', 'IN'), ('I', 'PRP'), ('engage', 'VBP'), ('for', 'IN'), (',', ','), ('I', 'PRP'), ('assure', 'VBP'), ('you', 'PRP'), ('.""', ':')]"
35,1,35,4,,3,0,0,0,1,1,1,0,0,"""But consider your daughters.","[('""', 'NN'), ('But', 'CC'), ('consider', 'NN'), ('your', 'PRP$'), ('daughters', 'NNS'), ('.', '.')]"
36,1,36,12,,1,2,0,1,2,3,1,1,2,Only think what an establishment it would be for one of them.,"[('Only', 'RB'), ('think', 'VBP'), ('what', 'WP'), ('an', 'DT'), ('establishment', 'NN'), ('it', 'PRP'), ('would', 'MD'), ('be', 'VB'), ('for', 'IN'), ('one', 'CD'), ('of', 'IN'), ('them', 'PRP'), ('.', '.')]"
37,1,37,22,,6,5,1,1,5,2,5,2,0,"Sir William and Lady Lucas are determined to go, merely on that account, for in general, you know, they visit no newcomers.","[('Sir', 'NNP'), ('William', 'NNP'), ('and', 'CC'), ('Lady', 'NNP'), ('Lucas', 'NNP'), ('are', 'VBP'), ('determined', 'VBN'), ('to', 'TO'), ('go', 'VB'), (',', ','), ('merely', 'RB'), ('on', 'IN'), ('that', 'DT'), ('account', 'NN'), (',', ','), ('for', 'IN'), ('in', 'IN'), ('general', 'JJ'), (',', ','), ('you', 'PRP'), ('know', 'VBP'), (',', ','), ('they', 'PRP'), ('visit', 'VBP'), ('no', 'DT'), ('newcomers', 'NNS'), ('.', '.')]"
38,1,38,18,,1,5,1,2,4,4,1,0,2,"Indeed you must go, for it will be impossible for _us_ to visit him if you do not.""","[('Indeed', 'RB'), ('you', 'PRP'), ('must', 'MD'), ('go', 'VB'), (',', ','), ('for', 'IN'), ('it', 'PRP'), ('will', 'MD'), ('be', 'VB'), ('impossible', 'JJ'), ('for', 'IN'), ('_us_', 'NNP'), ('to', 'TO'), ('visit', 'VB'), ('him', 'PRP'), ('if', 'IN'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('.""', 'VB')]"
39,1,39,5,,1,1,1,1,1,1,3,0,0,"""You are over-scrupulous, surely.","[('""', 'NN'), ('You', 'PRP'), ('are', 'VBP'), ('over', 'IN'), ('-', ':'), ('scrupulous', 'JJ'), (',', ','), ('surely', 'RB'), ('.', '.')]"
40,1,40,49,,11,8,4,1,10,10,3,3,3,"I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls; though I must throw in a good word for my little Lizzy.""","[('I', 'PRP'), ('dare', 'VBP'), ('say', 'VBP'), ('Mr', 'NNP'), ('.', '.'), ('Bingley', 'NNP'), ('will', 'MD'), ('be', 'VB'), ('very', 'RB'), ('glad', 'JJ'), ('to', 'TO'), ('see', 'VB'), ('you', 'PRP'), (';', ':'), ('and', 'CC'), ('I', 'PRP'), ('will', 'MD'), ('send', 'VB'), ('a', 'DT'), ('few', 'JJ'), ('lines', 'NNS'), ('by', 'IN'), ('you', 'PRP'), ('to', 'TO'), ('assure', 'VB'), ('him', 'PRP'), ('of', 'IN'), ('my', 'PRP$'), ('hearty', 'NN'), ('consent', 'NN'), ('to', 'TO'), ('his', 'PRP$'), ('marrying', 'NN'), ('whichever', 'NN'), ('he', 'PRP'), ('chooses', 'VBZ'), ('of', 'IN'), ('the', 'DT'), ('girls', 'NNS'), (';', ':'), ('though', 'IN'), ('I', 'PRP'), ('must', 'MD'), ('throw', 'VB'), ('in', 'IN'), ('a', 'DT'), ('good', 'JJ'), ('word', 'NN'), ('for', 'IN'), ('my', 'PRP$'), ('little', 'JJ'), ('Lizzy', 'NNP'), ('.""', 'NNP')]"
41,1,41,8,,2,2,1,0,0,2,1,1,1,"""I desire you will do no such thing.","[('""', 'NN'), ('I', 'PRP'), ('desire', 'VBP'), ('you', 'PRP'), ('will', 'MD'), ('do', 'VB'), ('no', 'DT'), ('such', 'JJ'), ('thing', 'NN'), ('.', '.')]"
42,1,42,28,,6,3,4,4,5,2,4,4,0,"Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia.","[('Lizzy', 'NNP'), ('is', 'VBZ'), ('not', 'RB'), ('a', 'DT'), ('bit', 'NN'), ('better', 'NN'), ('than', 'IN'), ('the', 'DT'), ('others', 'NNS'), (';', ':'), ('and', 'CC'), ('I', 'PRP'), ('am', 'VBP'), ('sure', 'JJ'), ('she', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('half', 'DT'), ('so', 'RB'), ('handsome', 'JJ'), ('as', 'IN'), ('Jane', 'NNP'), (',', ','), ('nor', 'CC'), ('half', 'DT'), ('so', 'RB'), ('good', 'JJ'), ('-', ':'), ('humoured', 'JJ'), ('as', 'IN'), ('Lydia', 'NNP'), ('.', '.')]"
43,1,43,8,,2,2,0,1,1,1,1,1,0,"But you are always giving _her_ the preference.""","[('But', 'CC'), ('you', 'PRP'), ('are', 'VBP'), ('always', 'RB'), ('giving', 'VBG'), ('_her_', 'NNP'), ('the', 'DT'), ('preference', 'NN'), ('.""', ':')]"
44,1,44,30,,7,5,3,3,7,6,5,0,0,"""They have none of them much to recommend them,"" replied he; ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""","[('""', 'NN'), ('They', 'PRP'), ('have', 'VBP'), ('none', 'NN'), ('of', 'IN'), ('them', 'PRP'), ('much', 'RB'), ('to', 'TO'), ('recommend', 'VB'), ('them', 'PRP'), (',""', ':'), ('replied', 'VBD'), ('he', 'PRP'), (';', ':'), ('""', ':'), ('they', 'PRP'), ('are', 'VBP'), ('all', 'RB'), ('silly', 'RB'), ('and', 'CC'), ('ignorant', 'JJ'), ('like', 'IN'), ('other', 'JJ'), ('girls', 'NNS'), (';', ':'), ('but', 'CC'), ('Lizzy', 'NNP'), ('has', 'VBZ'), ('something', 'NN'), ('more', 'JJR'), ('of', 'IN'), ('quickness', 'NN'), ('than', 'IN'), ('her', 'PRP$'), ('sisters', 'NNS'), ('.""', ':')]"
45,1,45,13,,6,1,2,1,1,2,3,1,0,"""Mr. Bennet, how _can_ you abuse your own children in such a way?","[('""', 'NN'), ('Mr', 'NNP'), ('.', '.'), ('Bennet', 'NNP'), (',', ','), ('how', 'WRB'), ('_can_', 'NNP'), ('you', 'PRP'), ('abuse', 'VBP'), ('your', 'PRP$'), ('own', 'JJ'), ('children', 'NNS'), ('in', 'IN'), ('such', 'JJ'), ('a', 'DT'), ('way', 'NN'), ('?', '.')]"
46,1,46,6,,1,1,1,0,1,2,1,0,0,You take delight in vexing me.,"[('You', 'PRP'), ('take', 'VBP'), ('delight', 'JJ'), ('in', 'IN'), ('vexing', 'NN'), ('me', 'PRP'), ('.', '.')]"
47,1,47,8,,3,1,0,0,1,2,1,1,0,"You have no compassion for my poor nerves.""","[('You', 'PRP'), ('have', 'VBP'), ('no', 'DT'), ('compassion', 'NN'), ('for', 'IN'), ('my', 'PRP$'), ('poor', 'NN'), ('nerves', 'NNS'), ('.""', ':')]"
48,1,48,5,,2,1,0,0,0,3,2,0,0,"""You mistake me, my dear.","[('""', 'NN'), ('You', 'PRP'), ('mistake', 'VBP'), ('me', 'PRP'), (',', ','), ('my', 'PRP$'), ('dear', 'NN'), ('.', '.')]"
49,1,49,8,,2,1,1,0,1,2,1,1,0,I have a high respect for your nerves.,"[('I', 'PRP'), ('have', 'VBP'), ('a', 'DT'), ('high', 'JJ'), ('respect', 'NN'), ('for', 'IN'), ('your', 'PRP$'), ('nerves', 'NNS'), ('.', '.')]"
50,1,50,5,,1,1,1,0,0,2,1,0,0,They are my old friends.,"[('They', 'PRP'), ('are', 'VBP'), ('my', 'PRP$'), ('old', 'JJ'), ('friends', 'NNS'), ('.', '.')]"
51,1,51,14,,4,2,2,0,2,3,0,1,1,"I have heard you mention them with consideration these last twenty years at least.""","[('I', 'PRP'), ('have', 'VBP'), ('heard', 'VBN'), ('you', 'PRP'), ('mention', 'NN'), ('them', 'PRP'), ('with', 'IN'), ('consideration', 'NN'), ('these', 'DT'), ('last', 'JJ'), ('twenty', 'NN'), ('years', 'NNS'), ('at', 'IN'), ('least', 'JJS'), ('.""', 'CD')]"
52,1,52,8,,2,3,0,1,0,3,2,0,0,"""Ah, you do not know what I suffer.""","[('""', 'NN'), ('Ah', 'NNP'), (',', ','), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('what', 'WP'), ('I', 'PRP'), ('suffer', 'VBP'), ('.""', ':')]"
53,1,53,24,,4,4,3,0,6,3,2,2,3,"""But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.""","[('""', 'NN'), ('But', 'CC'), ('I', 'PRP'), ('hope', 'VBP'), ('you', 'PRP'), ('will', 'MD'), ('get', 'VB'), ('over', 'IN'), ('it', 'PRP'), (',', ','), ('and', 'CC'), ('live', 'JJ'), ('to', 'TO'), ('see', 'VB'), ('many', 'JJ'), ('young', 'JJ'), ('men', 'NNS'), ('of', 'IN'), ('four', 'CD'), ('thousand', 'CD'), ('a', 'DT'), ('year', 'NN'), ('come', 'VBN'), ('into', 'IN'), ('the', 'DT'), ('neighbourhood', 'NN'), ('.""', ':')]"
54,1,54,18,,2,4,1,2,3,4,3,0,3,"""It will be no use to us, if twenty such should come, since you will not visit them.""","[('""', 'NN'), ('It', 'PRP'), ('will', 'MD'), ('be', 'VB'), ('no', 'RB'), ('use', 'VB'), ('to', 'TO'), ('us', 'PRP'), (',', ','), ('if', 'IN'), ('twenty', 'NN'), ('such', 'JJ'), ('should', 'MD'), ('come', 'VB'), (',', ','), ('since', 'IN'), ('you', 'PRP'), ('will', 'MD'), ('not', 'RB'), ('visit', 'VB'), ('them', 'PRP'), ('.""', ':')]"
55,1,55,15,,4,2,0,1,2,4,4,1,2,"""Depend upon it, my dear, that when there are twenty, I will visit them all.""","[('""', 'NN'), ('Depend', 'NNP'), ('upon', 'IN'), ('it', 'PRP'), (',', ','), ('my', 'PRP$'), ('dear', 'NN'), (',', ','), ('that', 'IN'), ('when', 'WRB'), ('there', 'EX'), ('are', 'VBP'), ('twenty', 'NN'), (',', ','), ('I', 'PRP'), ('will', 'MD'), ('visit', 'VB'), ('them', 'PRP'), ('all', 'DT'), ('.""', ':')]"
56,1,56,33,,13,5,3,1,6,2,8,2,1,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character.","[('Mr', 'NNP'), ('.', '.'), ('Bennet', 'NNP'), ('was', 'VBD'), ('so', 'RB'), ('odd', 'JJ'), ('a', 'DT'), ('mixture', 'NN'), ('of', 'IN'), ('quick', 'JJ'), ('parts', 'NNS'), (',', ','), ('sarcastic', 'JJ'), ('humour', 'NN'), (',', ','), ('reserve', 'NN'), (',', ','), ('and', 'CC'), ('caprice', 'NN'), (',', ','), ('that', 'IN'), ('the', 'DT'), ('experience', 'NN'), ('of', 'IN'), ('three', 'CD'), ('-', ':'), ('and', 'CC'), ('-', ':'), ('twenty', 'NN'), ('years', 'NNS'), ('had', 'VBD'), ('been', 'VBN'), ('insufficient', 'VBN'), ('to', 'TO'), ('make', 'VB'), ('his', 'PRP$'), ('wife', 'NN'), ('understand', 'NN'), ('his', 'PRP$'), ('character', 'NN'), ('.', '.')]"
57,1,57,7,,1,3,2,0,1,0,1,0,0,_Her_ mind was less difficult to develop.,"[('_Her_', 'NNP'), ('mind', 'VBD'), ('was', 'VBD'), ('less', 'JJR'), ('difficult', 'JJ'), ('to', 'TO'), ('develop', 'VB'), ('.', '.')]"
58,1,58,12,,4,2,2,0,2,1,3,1,0,"She was a woman of mean understanding, little information, and uncertain temper.","[('She', 'PRP'), ('was', 'VBD'), ('a', 'DT'), ('woman', 'NN'), ('of', 'IN'), ('mean', 'JJ'), ('understanding', 'NN'), (',', ','), ('little', 'JJ'), ('information', 'NN'), (',', ','), ('and', 'CC'), ('uncertain', 'VB'), ('temper', 'NN'), ('.', '.')]"
