seq,chapter,sentence,slen,note,noun,verb,adj,adv,con,pron,punct,dt,other,text,pos
12,1,12,30,,13,2,1,2,2,2,1,4,4,I may there discover the wondrous power which attracts the needle and may regulate a thousand celestial observations that require only this voyage to render their seeming eccentricities consistent forever.,"[('I', 'PRP'), ('may', 'MD'), ('there', 'RB'), ('discover', 'VB'), ('the', 'DT'), ('wondrous', 'JJ'), ('power', 'NN'), ('which', 'WDT'), ('attracts', 'NNS'), ('the', 'DT'), ('needle', 'NN'), ('and', 'CC'), ('may', 'MD'), ('regulate', 'VB'), ('a', 'DT'), ('thousand', 'NN'), ('celestial', 'NN'), ('observations', 'NNS'), ('that', 'WDT'), ('require', 'NN'), ('only', 'RB'), ('this', 'DT'), ('voyage', 'NN'), ('to', 'TO'), ('render', 'NN'), ('their', 'PRP$'), ('seeming', 'NN'), ('eccentricities', 'NNS'), ('consistent', 'NN'), ('forever', 'NN'), ('.', '.')]"
13,1,13,31,,8,4,1,2,8,2,2,5,1,"I shall satiate my ardent curiosity with the sight of a part of the world never before visited, and may tread a land never before imprinted by the foot of man.","[('I', 'PRP'), ('shall', 'VBP'), ('satiate', 'JJ'), ('my', 'PRP$'), ('ardent', 'NN'), ('curiosity', 'NN'), ('with', 'IN'), ('the', 'DT'), ('sight', 'NN'), ('of', 'IN'), ('a', 'DT'), ('part', 'NN'), ('of', 'IN'), ('the', 'DT'), ('world', 'NN'), ('never', 'RB'), ('before', 'IN'), ('visited', 'VBN'), (',', ','), ('and', 'CC'), ('may', 'MD'), ('tread', 'VB'), ('a', 'DT'), ('land', 'NN'), ('never', 'RB'), ('before', 'IN'), ('imprinted', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('foot', 'NN'), ('of', 'IN'), ('man', 'NN'), ('.', '.')]"
14,1,14,51,,11,7,5,2,13,6,4,7,0,"These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.","[('These', 'DT'), ('are', 'VBP'), ('my', 'PRP$'), ('enticements', 'NNS'), (',', ','), ('and', 'CC'), ('they', 'PRP'), ('are', 'VBP'), ('sufficient', 'JJ'), ('to', 'TO'), ('conquer', 'NN'), ('all', 'DT'), ('fear', 'NN'), ('of', 'IN'), ('danger', 'JJR'), ('or', 'CC'), ('death', 'NN'), ('and', 'CC'), ('to', 'TO'), ('induce', 'VB'), ('me', 'PRP'), ('to', 'TO'), ('commence', 'VB'), ('this', 'DT'), ('laborious', 'JJ'), ('voyage', 'NN'), ('with', 'IN'), ('the', 'DT'), ('joy', 'NN'), ('a', 'DT'), ('child', 'NN'), ('feels', 'VBZ'), ('when', 'WRB'), ('he', 'PRP'), ('embarks', 'VBZ'), ('in', 'IN'), ('a', 'DT'), ('little', 'RB'), ('boat', 'JJ'), (',', ','), ('with', 'IN'), ('his', 'PRP$'), ('holiday', 'NN'), ('mates', 'VBZ'), (',', ','), ('on', 'IN'), ('an', 'DT'), ('expedition', 'NN'), ('of', 'IN'), ('discovery', 'NN'), ('up', 'IN'), ('his', 'PRP$'), ('native', 'JJ'), ('river', 'NN'), ('.', '.')]"
15,1,15,68,,13,9,7,4,16,2,9,12,5,"But supposing all these conjectures to be false, you cannot contest the inestimable benefit which I shall confer on all mankind, to the last generation, by discovering a passage near the pole to those countries, to reach which at present so many months are requisite; or by ascertaining the secret of the magnet, which, if at all possible, can only be effected by an undertaking such as mine.","[('But', 'CC'), ('supposing', 'VBG'), ('all', 'DT'), ('these', 'DT'), ('conjectures', 'NNS'), ('to', 'TO'), ('be', 'VB'), ('false', 'RB'), (',', ','), ('you', 'PRP'), ('cannot', 'VBD'), ('contest', 'JJS'), ('the', 'DT'), ('inestimable', 'JJ'), ('benefit', 'NN'), ('which', 'WDT'), ('I', 'PRP'), ('shall', 'MD'), ('confer', 'VB'), ('on', 'IN'), ('all', 'DT'), ('mankind', 'NN'), (',', ','), ('to', 'TO'), ('the', 'DT'), ('last', 'JJ'), ('generation', 'NN'), (',', ','), ('by', 'IN'), ('discovering', 'NN'), ('a', 'DT'), ('passage', 'NN'), ('near', 'IN'), ('the', 'DT'), ('pole', 'NN'), ('to', 'TO'), ('those', 'DT'), ('countries', 'NNS'), (',', ','), ('to', 'TO'), ('reach', 'VB'), ('which', 'WDT'), ('at', 'IN'), ('present', 'NN'), ('so', 'RB'), ('many', 'JJ'), ('months', 'NNS'), ('are', 'VBP'), ('requisite', 'RB'), (';', ':'), ('or', 'CC'), ('by', 'IN'), ('ascertaining', 'NN'), ('the', 'DT'), ('secret', 'NN'), ('of', 'IN'), ('the', 'DT'), ('magnet', 'NN'), (',', ','), ('which', 'WDT'), (',', ','), ('if', 'IN'), ('at', 'IN'), ('all', 'DT'), ('possible', 'JJ'), (',', ','), ('can', 'MD'), ('only', 'RB'), ('be', 'VB'), ('effected', 'VBN'), ('by', 'IN'), ('an', 'DT'), ('undertaking', 'VBG'), ('such', 'JJ'), ('as', 'IN'), ('mine', 'JJ'), ('.', '.')]"
16,1,16,50,,13,8,2,2,8,6,4,7,4,"These reflections have dispelled the agitation with which I began my letter, and I feel my heart glow with an enthusiasm which elevates me to heaven, for nothing contributes so much to tranquillize the mind as a steady purpose--a point on which the soul may fix its intellectual eye.","[('These', 'DT'), ('reflections', 'NNS'), ('have', 'VBP'), ('dispelled', 'VBN'), ('the', 'DT'), ('agitation', 'NN'), ('with', 'IN'), ('which', 'WDT'), ('I', 'PRP'), ('began', 'VBD'), ('my', 'PRP$'), ('letter', 'NN'), (',', ','), ('and', 'CC'), ('I', 'PRP'), ('feel', 'VBP'), ('my', 'PRP$'), ('heart', 'NN'), ('glow', 'NN'), ('with', 'IN'), ('an', 'DT'), ('enthusiasm', 'NN'), ('which', 'WDT'), ('elevates', 'VBZ'), ('me', 'PRP'), ('to', 'TO'), ('heaven', 'VB'), (',', ','), ('for', 'IN'), ('nothing', 'NN'), ('contributes', 'NNS'), ('so', 'RB'), ('much', 'RB'), ('to', 'TO'), ('tranquillize', 'VB'), ('the', 'DT'), ('mind', 'NN'), ('as', 'IN'), ('a', 'DT'), ('steady', 'JJ'), ('purpose', 'NN'), ('--', ':'), ('a', 'DT'), ('point', 'NN'), ('on', 'IN'), ('which', 'WDT'), ('the', 'DT'), ('soul', 'NN'), ('may', 'MD'), ('fix', 'VB'), ('its', 'PRP$'), ('intellectual', 'JJ'), ('eye', 'NN'), ('.', '.')]"
17,1,17,11,,3,2,2,0,1,1,1,2,0,This expedition has been the favourite dream of my early years.,"[('This', 'DT'), ('expedition', 'NN'), ('has', 'VBZ'), ('been', 'VBN'), ('the', 'DT'), ('favourite', 'JJ'), ('dream', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('early', 'JJ'), ('years', 'NNS'), ('.', '.')]"
18,1,18,32,,9,6,1,0,6,2,1,6,2,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,"[('I', 'PRP'), ('have', 'VBP'), ('read', 'VBN'), ('with', 'IN'), ('ardour', 'PRP$'), ('the', 'DT'), ('accounts', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('various', 'JJ'), ('voyages', 'NNS'), ('which', 'WDT'), ('have', 'VBP'), ('been', 'VBN'), ('made', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('prospect', 'NN'), ('of', 'IN'), ('arriving', 'VBG'), ('at', 'IN'), ('the', 'DT'), ('North', 'NNP'), ('Pacific', 'NNP'), ('Ocean', 'NNP'), ('through', 'IN'), ('the', 'DT'), ('seas', 'NNS'), ('which', 'WDT'), ('surround', 'NN'), ('the', 'DT'), ('pole', 'NN'), ('.', '.')]"
19,1,19,24,,7,3,2,0,5,2,1,4,2,You may remember that a history of all the voyages made for purposes of discovery composed the whole of our good Uncle Thomas' library.,"[('You', 'PRP'), ('may', 'MD'), ('remember', 'VB'), ('that', 'IN'), ('a', 'DT'), ('history', 'NN'), ('of', 'IN'), ('all', 'DT'), ('the', 'DT'), ('voyages', 'NNS'), ('made', 'VBN'), ('for', 'IN'), ('purposes', 'NNS'), ('of', 'IN'), ('discovery', 'NN'), ('composed', 'VBN'), ('the', 'DT'), ('whole', 'JJ'), ('of', 'IN'), ('our', 'PRP$'), ('good', 'JJ'), ('Uncle', 'NNP'), ('Thomas', 'NNP'), (""'"", 'POS'), ('library', 'NN'), ('.', '.')]"
20,1,20,11,,2,3,1,2,1,2,2,0,0,"My education was neglected, yet I was passionately fond of reading.","[('My', 'PRP$'), ('education', 'NN'), ('was', 'VBD'), ('neglected', 'VBN'), (',', ','), ('yet', 'RB'), ('I', 'PRP'), ('was', 'VBD'), ('passionately', 'RB'), ('fond', 'JJ'), ('of', 'IN'), ('reading', 'NN'), ('.', '.')]"
21,1,21,44,,14,9,0,0,10,7,4,3,2,"These volumes were my study day and night, and my familiarity with them increased that regret which I had felt, as a child, on learning that my father's dying injunction had forbidden my uncle to allow me to embark in a seafaring life.","[('These', 'DT'), ('volumes', 'NNS'), ('were', 'VBD'), ('my', 'PRP$'), ('study', 'NN'), ('day', 'NN'), ('and', 'CC'), ('night', 'NN'), (',', ','), ('and', 'CC'), ('my', 'PRP$'), ('familiarity', 'NN'), ('with', 'IN'), ('them', 'PRP'), ('increased', 'VBD'), ('that', 'IN'), ('regret', 'NN'), ('which', 'WDT'), ('I', 'PRP'), ('had', 'VBD'), ('felt', 'VBN'), (',', ','), ('as', 'IN'), ('a', 'DT'), ('child', 'NN'), (',', ','), ('on', 'IN'), ('learning', 'NN'), ('that', 'IN'), ('my', 'PRP$'), ('father', 'NN'), (""'"", ""''""), ('s', 'NNS'), ('dying', 'VBG'), ('injunction', 'NN'), ('had', 'VBD'), ('forbidden', 'VBN'), ('my', 'PRP$'), ('uncle', 'NN'), ('to', 'TO'), ('allow', 'VB'), ('me', 'PRP'), ('to', 'TO'), ('embark', 'VB'), ('in', 'IN'), ('a', 'DT'), ('seafaring', 'NN'), ('life', 'NN'), ('.', '.')]"
22,1,22,22,,5,5,1,1,3,4,3,3,0,"These visions faded when I perused, for the first time, those poets whose effusions entranced my soul and lifted it to heaven.","[('These', 'DT'), ('visions', 'NNS'), ('faded', 'VBD'), ('when', 'WRB'), ('I', 'PRP'), ('perused', 'VBD'), (',', ','), ('for', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN'), (',', ','), ('those', 'DT'), ('poets', 'NNS'), ('whose', 'WP$'), ('effusions', 'NNS'), ('entranced', 'VBN'), ('my', 'PRP$'), ('soul', 'NN'), ('and', 'CC'), ('lifted', 'VBD'), ('it', 'PRP'), ('to', 'TO'), ('heaven', 'VB'), ('.', '.')]"
23,1,23,38,,9,6,1,3,8,4,2,5,2,I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated.,"[('I', 'PRP'), ('also', 'RB'), ('became', 'VBD'), ('a', 'DT'), ('poet', 'NN'), ('and', 'CC'), ('for', 'IN'), ('one', 'CD'), ('year', 'NN'), ('lived', 'VBD'), ('in', 'IN'), ('a', 'DT'), ('paradise', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('own', 'JJ'), ('creation', 'NN'), (';', ':'), ('I', 'PRP'), ('imagined', 'VBD'), ('that', 'IN'), ('I', 'PRP'), ('also', 'RB'), ('might', 'MD'), ('obtain', 'VB'), ('a', 'DT'), ('niche', 'NN'), ('in', 'IN'), ('the', 'DT'), ('temple', 'NN'), ('where', 'WRB'), ('the', 'DT'), ('names', 'NNS'), ('of', 'IN'), ('Homer', 'NNP'), ('and', 'CC'), ('Shakespeare', 'NNP'), ('are', 'VBP'), ('consecrated', 'VBN'), ('.', '.')]"
24,1,24,14,,2,3,0,3,2,3,1,1,0,You are well acquainted with my failure and how heavily I bore the disappointment.,"[('You', 'PRP'), ('are', 'VBP'), ('well', 'RB'), ('acquainted', 'VBN'), ('with', 'IN'), ('my', 'PRP$'), ('failure', 'NN'), ('and', 'CC'), ('how', 'WRB'), ('heavily', 'RB'), ('I', 'PRP'), ('bore', 'VBP'), ('the', 'DT'), ('disappointment', 'NN'), ('.', '.')]"
25,1,25,24,,6,3,1,1,6,4,2,3,0,"But just at that time I inherited the fortune of my cousin, and my thoughts were turned into the channel of their earlier bent.","[('But', 'CC'), ('just', 'RB'), ('at', 'IN'), ('that', 'DT'), ('time', 'NN'), ('I', 'PRP'), ('inherited', 'VBD'), ('the', 'DT'), ('fortune', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('cousin', 'NN'), (',', ','), ('and', 'CC'), ('my', 'PRP$'), ('thoughts', 'NNS'), ('were', 'VBD'), ('turned', 'VBN'), ('into', 'IN'), ('the', 'DT'), ('channel', 'NN'), ('of', 'IN'), ('their', 'PRP$'), ('earlier', 'JJR'), ('bent', 'NN'), ('.', '.')]"
26,1,26,11,,2,4,0,0,2,2,1,0,1,Six years have passed since I resolved on my present undertaking.,"[('Six', 'CD'), ('years', 'NNS'), ('have', 'VBP'), ('passed', 'VBN'), ('since', 'IN'), ('I', 'PRP'), ('resolved', 'VBD'), ('on', 'IN'), ('my', 'PRP$'), ('present', 'NN'), ('undertaking', 'VBG'), ('.', '.')]"
27,1,27,16,,3,1,1,2,2,3,3,2,2,"I can, even now, remember the hour from which I dedicated myself to this great enterprise.","[('I', 'PRP'), ('can', 'MD'), (',', ','), ('even', 'RB'), ('now', 'RB'), (',', ','), ('remember', 'NN'), ('the', 'DT'), ('hour', 'NN'), ('from', 'IN'), ('which', 'WDT'), ('I', 'PRP'), ('dedicated', 'VBD'), ('myself', 'PRP'), ('to', 'TO'), ('this', 'DT'), ('great', 'JJ'), ('enterprise', 'NN'), ('.', '.')]"
28,1,28,8,,2,2,0,0,2,2,1,0,0,I commenced by inuring my body to hardship.,"[('I', 'PRP'), ('commenced', 'VBD'), ('by', 'IN'), ('inuring', 'NN'), ('my', 'PRP$'), ('body', 'NN'), ('to', 'TO'), ('hardship', 'VB'), ('.', '.')]"
29,1,29,63,,19,7,7,2,13,4,9,9,2,"I accompanied the whale-fishers on several expeditions to the North Sea; I voluntarily endured cold, famine, thirst, and want of sleep; I often worked harder than the common sailors during the day and devoted my nights to the study of mathematics, the theory of medicine, and those branches of physical science from which a naval adventurer might derive the greatest practical advantage.","[('I', 'PRP'), ('accompanied', 'VBD'), ('the', 'DT'), ('whale', 'NN'), ('-', ':'), ('fishers', 'NNS'), ('on', 'IN'), ('several', 'JJ'), ('expeditions', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('North', 'NNP'), ('Sea', 'NNP'), (';', ':'), ('I', 'PRP'), ('voluntarily', 'RB'), ('endured', 'VBD'), ('cold', 'VBN'), (',', ','), ('famine', 'NN'), (',', ','), ('thirst', 'JJ'), (',', ','), ('and', 'CC'), ('want', 'VB'), ('of', 'IN'), ('sleep', 'NN'), (';', ':'), ('I', 'PRP'), ('often', 'RB'), ('worked', 'VBD'), ('harder', 'JJR'), ('than', 'IN'), ('the', 'DT'), ('common', 'JJ'), ('sailors', 'NNS'), ('during', 'IN'), ('the', 'DT'), ('day', 'NN'), ('and', 'CC'), ('devoted', 'VBD'), ('my', 'PRP$'), ('nights', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('study', 'NN'), ('of', 'IN'), ('mathematics', 'NNS'), (',', ','), ('the', 'DT'), ('theory', 'NN'), ('of', 'IN'), ('medicine', 'NN'), (',', ','), ('and', 'CC'), ('those', 'DT'), ('branches', 'NNS'), ('of', 'IN'), ('physical', 'JJ'), ('science', 'NN'), ('from', 'IN'), ('which', 'WDT'), ('a', 'DT'), ('naval', 'NN'), ('adventurer', 'NN'), ('might', 'MD'), ('derive', 'VB'), ('the', 'DT'), ('greatest', 'JJS'), ('practical', 'JJ'), ('advantage', 'NN'), ('.', '.')]"
30,1,30,18,,4,2,1,1,5,3,3,2,0,"Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration.","[('Twice', 'NNP'), ('I', 'PRP'), ('actually', 'RB'), ('hired', 'VBD'), ('myself', 'PRP'), ('as', 'IN'), ('an', 'DT'), ('under', 'IN'), ('-', ':'), ('mate', 'JJ'), ('in', 'IN'), ('a', 'DT'), ('Greenland', 'NNP'), ('whaler', 'NN'), (',', ','), ('and', 'CC'), ('acquitted', 'VBD'), ('myself', 'PRP'), ('to', 'TO'), ('admiration', 'NN'), ('.', '.')]"
31,1,31,35,,5,7,4,3,4,7,2,4,1,"I must own I felt a little proud when my captain offered me the second dignity in the vessel and entreated me to remain with the greatest earnestness, so valuable did he consider my services.","[('I', 'PRP'), ('must', 'MD'), ('own', 'VB'), ('I', 'PRP'), ('felt', 'VBD'), ('a', 'DT'), ('little', 'RB'), ('proud', 'VBN'), ('when', 'WRB'), ('my', 'PRP$'), ('captain', 'NN'), ('offered', 'VBD'), ('me', 'PRP'), ('the', 'DT'), ('second', 'JJ'), ('dignity', 'NN'), ('in', 'IN'), ('the', 'DT'), ('vessel', 'NN'), ('and', 'CC'), ('entreated', 'VBD'), ('me', 'PRP'), ('to', 'TO'), ('remain', 'VB'), ('with', 'IN'), ('the', 'DT'), ('greatest', 'JJS'), ('earnestness', 'NN'), (',', ','), ('so', 'RB'), ('valuable', 'JJ'), ('did', 'VBD'), ('he', 'PRP'), ('consider', 'JJR'), ('my', 'PRP$'), ('services', 'NNS'), ('.', '.')]"
32,1,32,13,,2,3,2,2,2,1,3,1,0,"And now, dear Margaret, do I not deserve to accomplish some great purpose?","[('And', 'CC'), ('now', 'RB'), (',', ','), ('dear', 'JJ'), ('Margaret', 'NNP'), (',', ','), ('do', 'VBP'), ('I', 'PRP'), ('not', 'RB'), ('deserve', 'VB'), ('to', 'TO'), ('accomplish', 'VB'), ('some', 'DT'), ('great', 'JJ'), ('purpose', 'NN'), ('?', '.')]"
33,1,33,23,,7,5,0,0,6,3,2,1,1,"My life might have been passed in ease and luxury, but I preferred glory to every enticement that wealth placed in my path.","[('My', 'PRP$'), ('life', 'NN'), ('might', 'MD'), ('have', 'VB'), ('been', 'VBN'), ('passed', 'VBN'), ('in', 'IN'), ('ease', 'NN'), ('and', 'CC'), ('luxury', 'NN'), (',', ','), ('but', 'CC'), ('I', 'PRP'), ('preferred', 'VBD'), ('glory', 'NN'), ('to', 'TO'), ('every', 'DT'), ('enticement', 'NN'), ('that', 'IN'), ('wealth', 'NN'), ('placed', 'VBD'), ('in', 'IN'), ('my', 'PRP$'), ('path', 'NN'), ('.', '.')]"
34,1,34,10,,1,2,1,0,2,0,2,2,2,"Oh, that some encouraging voice would answer in the affirmative!","[('Oh', 'UH'), (',', ','), ('that', 'IN'), ('some', 'DT'), ('encouraging', 'VBG'), ('voice', 'NN'), ('would', 'MD'), ('answer', 'VB'), ('in', 'IN'), ('the', 'DT'), ('affirmative', 'JJ'), ('!', '.')]"
35,1,35,17,,5,4,0,1,3,4,3,0,0,"My courage and my resolution is firm; but my hopes fluctuate, and my spirits are often depressed.","[('My', 'PRP$'), ('courage', 'NN'), ('and', 'CC'), ('my', 'PRP$'), ('resolution', 'NN'), ('is', 'VBZ'), ('firm', 'NN'), (';', ':'), ('but', 'CC'), ('my', 'PRP$'), ('hopes', 'NNS'), ('fluctuate', 'VBP'), (',', ','), ('and', 'CC'), ('my', 'PRP$'), ('spirits', 'NNS'), ('are', 'VBP'), ('often', 'RB'), ('depressed', 'VBN'), ('.', '.')]"
